0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:42:09 +0800] "GET /bos-web/js/ztree/img/zTreeStandard.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:42:09 +0800] "GET /bos-web/page_portal_gonggao.action?_=1543797729916 HTTP/1.1" 200 637
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:42:09 +0800] "GET /bos-web/page_portal_daiban.action?_=1543797729931 HTTP/1.1" 200 887
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:42:09 +0800] "GET /bos-web/page_portal_yujing.action?_=1543797729945 HTTP/1.1" 200 614
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:42:09 +0800] "GET /bos-web/page_portal_bug.action?_=1543797729958 HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:42:12 +0800] "GET /bos-web/js/ztree/img/line_conn.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:42:13 +0800] "GET /bos-web/js/easyui/themes/default/images/tabs_icons.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:42:13 +0800] "GET /bos-web/page_base_region.action HTTP/1.1" 200 5138
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:42:13 +0800] "POST /bos-web/regionAction_pageQuery.action HTTP/1.1" 200 4905
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:42:15 +0800] "GET /bos-web/page_base_staff.action HTTP/1.1" 200 9896
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:42:15 +0800] "POST /bos-web/staffAction_pageQuery.action HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:42:16 +0800] "GET /bos-web/page_base_region.action HTTP/1.1" 200 5138
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:42:16 +0800] "POST /bos-web/regionAction_pageQuery.action HTTP/1.1" 200 4905
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:42:23 +0800] "POST /bos-web/regionAction_pageQuery.action HTTP/1.1" 200 4856
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:42:23 +0800] "POST /bos-web/regionAction_pageQuery.action HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:42:25 +0800] "POST /bos-web/regionAction_pageQuery.action HTTP/1.1" 200 4856
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:42:26 +0800] "POST /bos-web/regionAction_pageQuery.action HTTP/1.1" 200 4905
